from,to,code
A-B-C-E-G-H-J-K-L,A0A,H5
A-B-C-E-G-H-J-K-L,A0B,H5
A-B-C-E-G-H-J-K-L,A0C,H5
A-B-C-E-G-H-J-K-L,A0E,H5
A-B-C-E-G-H-J-K-L,A0G,H5
A-B-C-E-G-H-J-K-L,A0H,H5
A-B-C-E-G-H-J-K-L,A0J,H5
A-B-C-E-G-H-J-K-L,A0K,H5
A-B-C-E-G-H-J-K-L,A0K,J2
A-B-C-E-G-H-J-K-L,A0L,H5
A-B-C-E-G-H-J-K-L,A0M,H5
A-B-C-E-G-H-J-K-L,A0N,H5
A-B-C-E-G-H-J-K-L,A0P,D1
A-B-C-E-G-H-J-K-L,A0P,J2
A-B-C-E-G-H-J-K-L,A0R,D1
A-B-C-E-G-H-J-K-L,A1A,G1
A-B-C-E-G-H-J-K-L,A1B,G1
A-B-C-E-G-H-J-K-L,A1C,G1
A-B-C-E-G-H-J-K-L,A1E,G1
A-B-C-E-G-H-J-K-L,A1G,G1
A-B-C-E-G-H-J-K-L,A1H,G1
A-B-C-E-G-H-J-K-L,A1K,H5
A-B-C-E-G-H-J-K-L,A1L,H5
A-B-C-E-G-H-J-K-L,A1M,H5
A-B-C-E-G-H-J-K-L,A1N,G1
A-B-C-E-G-H-J-K-L,A1S,H5
A-B-C-E-G-H-J-K-L,A1V,H5
A-B-C-E-G-H-J-K-L,A1W,H5
A-B-C-E-G-H-J-K-L,A1X,H5
A-B-C-E-G-H-J-K-L,A1Y,H5
A-B-C-E-G-H-J-K-L,A2A,H5
A-B-C-E-G-H-J-K-L,A2B,H5
A-B-C-E-G-H-J-K-L,A2H,H5
A-B-C-E-G-H-J-K-L,A2N,H5
A-B-C-E-G-H-J-K-L,A2V,D1
A-B-C-E-G-H-J-K-L,A5A,H5
A-B-C-E-G-H-J-K-L,A8A,H5
A-B-C-E-G-H-J-K-L,B0C,F3
A-B-C-E-G-H-J-K-L,B0E,F3
A-B-C-E-G-H-J-K-L,B0H,F3
A-B-C-E-G-H-J-K-L,B0J,F3
A-B-C-E-G-H-J-K-L,B0K,F3
A-B-C-E-G-H-J-K-L,B0L,F3
A-B-C-E-G-H-J-K-L,B0M,F3
A-B-C-E-G-H-J-K-L,B0N,F3
A-B-C-E-G-H-J-K-L,B0P,F3
A-B-C-E-G-H-J-K-L,B0R,F3
A-B-C-E-G-H-J-K-L,B0S,F3
A-B-C-E-G-H-J-K-L,B0T,F3
A-B-C-E-G-H-J-K-L,B0V,F3
A-B-C-E-G-H-J-K-L,B0W,F3
A-B-C-E-G-H-J-K-L,B1A,F1
A-B-C-E-G-H-J-K-L,B1B,F1
A-B-C-E-G-H-J-K-L,B1C,F1
A-B-C-E-G-H-J-K-L,B1E,F1
A-B-C-E-G-H-J-K-L,B1G,F1
A-B-C-E-G-H-J-K-L,B1H,F1
A-B-C-E-G-H-J-K-L,B1J,F1
A-B-C-E-G-H-J-K-L,B1K,F1
A-B-C-E-G-H-J-K-L,B1L,F1
A-B-C-E-G-H-J-K-L,B1M,E1
A-B-C-E-G-H-J-K-L,B1N,E1
A-B-C-E-G-H-J-K-L,B1P,E1
A-B-C-E-G-H-J-K-L,B1R,E1
A-B-C-E-G-H-J-K-L,B1S,E1
A-B-C-E-G-H-J-K-L,B1T,F1
A-B-C-E-G-H-J-K-L,B1V,F1
A-B-C-E-G-H-J-K-L,B1W,F1
A-B-C-E-G-H-J-K-L,B1X,F1
A-B-C-E-G-H-J-K-L,B1Y,F1
A-B-C-E-G-H-J-K-L,B2A,F1
A-B-C-E-G-H-J-K-L,B2C,F1
A-B-C-E-G-H-J-K-L,B2E,F1
A-B-C-E-G-H-J-K-L,B2G,F1
A-B-C-E-G-H-J-K-L,B2H,F1
A-B-C-E-G-H-J-K-L,B2J,F1
A-B-C-E-G-H-J-K-L,B2N,F1
A-B-C-E-G-H-J-K-L,B2R,F1
A-B-C-E-G-H-J-K-L,B2S,F1
A-B-C-E-G-H-J-K-L,B2T,F1
A-B-C-E-G-H-J-K-L,B2V,E1
A-B-C-E-G-H-J-K-L,B2W,E1
A-B-C-E-G-H-J-K-L,B2X,E1
A-B-C-E-G-H-J-K-L,B2Y,E1
A-B-C-E-G-H-J-K-L,B2Z,E1
A-B-C-E-G-H-J-K-L,B3A,E1
A-B-C-E-G-H-J-K-L,B3B,E1
A-B-C-E-G-H-J-K-L,B3E,F1
A-B-C-E-G-H-J-K-L,B3G,F1
A-B-C-E-G-H-J-K-L,B3H,E1
A-B-C-E-G-H-J-K-L,B3J,E1
